Severity,CWE,Tool_A_Alert,Tool_B_Alert,Tool_A_Rule,Tool_B_Rule,Line,TruePositive
High,119,1,1,3,1,45,1
Low,561,1,0,4,18,50,0
High,465,1,0,6,18,45,0
High,465,1,0,6,18,104,0
High,465,1,0,6,18,79,0
Low,561,1,0,4,18,104,0
Low,561,1,0,4,18,129,0
Low,561,1,0,4,18,30,0
Low,561,1,0,4,18,71,0
Low,561,1,0,4,18,61,0
Low,561,1,0,4,18,36,0
Low,561,1,0,4,18,87,0
Low,561,1,0,4,18,59,0
Medium,227,1,0,1,18,41,1
Medium,227,1,0,1,18,69,0
Medium,227,1,0,1,18,88,0
Low,561,1,0,4,18,71,0
Low,561,1,0,4,18,124,0
Low,561,1,0,4,18,71,0
Low,561,1,0,4,18,25,0
Low,561,1,0,4,18,118,0
Low,561,1,0,4,18,40,0
Low,561,1,0,4,18,64,0
Low,561,1,0,4,18,46,0
Low,561,1,0,4,18,29,0
Low,561,1,0,4,18,59,0
Low,561,1,0,4,18,44,0
Low,561,1,0,4,18,28,0
Low,561,1,0,4,18,56,0
Unspecified,N/A,1,0,13,18,54,1
Low,561,1,0,4,18,34,0
Low,561,1,0,4,18,54,0
Low,561,1,0,4,18,67,0
Low,561,1,0,4,18,32,0
Low,561,1,0,4,18,199,0
Low,561,1,0,4,18,43,0
Low,561,1,0,4,18,115,0
Low,561,1,0,4,18,139,0
Low,561,1,0,4,18,86,0
Low,561,1,0,4,18,26,0
High,401,1,1,7,25,39,1
Low,561,1,0,4,18,52,0
Low,561,1,0,4,18,35,0
Low,561,1,0,4,18,59,0
High,401,1,1,7,12,41,1
Medium,227,1,1,1,26,52,1
Low,561,1,0,4,18,70,0
Low,561,1,0,4,18,102,0
High,465,1,0,6,18,68,0
High,465,1,0,6,18,86,0
Medium,704,1,0,2,18,36,0
High,465,1,0,6,18,41,1
Low,561,1,0,4,18,79,0
Low,561,1,0,4,18,113,0
Low,561,1,0,4,18,139,0
Low,561,1,0,4,18,60,0
Medium,665,1,1,5,26,27,1
High,465,1,0,6,18,46,1
High,465,1,0,6,18,89,0
High,465,1,0,6,18,123,0
Low,561,1,0,4,18,53,0
Low,561,1,1,4,32,44,0
High,401,1,0,7,18,89,0
Low,561,1,0,4,18,68,0
High,401,1,0,7,18,27,1
Low,561,1,0,4,18,31,0
Low,561,1,0,4,18,43,0
Medium,227,1,0,1,18,35,1
Medium,227,1,0,1,18,99,0
Medium,227,1,0,1,18,78,0
Low,561,1,0,4,18,60,0
Medium,227,1,0,1,18,46,1
Low,561,1,0,4,18,88,0
Medium,227,1,0,1,18,101,0
Low,561,1,0,4,18,33,0
Low,561,1,0,4,18,63,0
Low,561,1,0,4,18,39,0
High,401,1,1,7,32,42,0
Low,562,1,1,12,16,56,0
Low,561,1,0,4,18,28,0
Low,561,1,0,4,18,46,0
High,465,1,0,6,18,76,0
Medium,665,1,1,5,17,125,0
Low,561,1,0,4,18,106,0
Low,561,1,0,4,18,131,0
High,399,1,0,11,18,40,0
High,465,1,0,6,18,67,0
Unspecified,N/A,1,0,13,18,41,1
High,465,1,0,6,18,39,0
High,465,1,0,6,18,86,0
Low,561,1,0,4,18,30,0
Low,561,1,1,4,32,42,0
Low,561,1,1,4,32,59,0
Low,561,1,0,4,18,90,0
Low,561,1,0,4,18,130,0
Low,561,1,0,4,18,36,0
Low,561,1,0,4,18,58,0
Low,561,1,0,4,18,77,0
High,401,1,0,7,18,61,0
High,401,1,0,7,18,39,1
High,401,1,0,7,18,111,0
Low,561,1,0,4,18,28,0
Low,561,1,0,4,18,45,0
High,465,1,0,6,18,48,1
Low,561,1,0,4,18,42,0
Low,561,1,0,4,18,73,0
High,401,1,0,7,18,41,1
High,401,1,0,7,18,93,0
Low,561,1,0,4,18,72,0
High,399,1,0,11,18,41,1
High,465,1,0,6,18,119,0
High,401,1,0,7,18,122,0
High,465,1,0,6,18,139,0
High,401,1,0,7,18,142,0
Low,561,1,0,4,18,46,0
Low,561,1,0,4,18,28,0
Low,561,1,0,4,18,35,0
Low,561,1,0,4,18,37,0
Low,561,1,0,4,18,55,0
Medium,227,1,0,1,18,43,0
Low,561,1,0,4,18,49,0
Low,561,1,1,4,26,129,0
Low,561,1,0,4,18,59,0
Low,561,1,0,4,18,35,0
High,465,1,0,6,18,144,0
Medium,665,1,0,5,18,361,0
High,401,1,0,7,18,47,1
High,401,1,0,7,18,122,0
High,401,1,0,7,18,71,0
Unspecified,N/A,1,0,13,18,53,0
High,401,1,0,7,18,55,0
